Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Craig Kimbrel,Red Sox,4,2,2.58,0,65,33,65,42,19,6,100,24,1.02,13.9,3.3,2.45,1.5,1.7,44.8,6655
Kenley Jansen,Dodgers,4,2,2.73,0,65,38,65,46,20,7,91,15,0.94,12.55,2.07,2.58,1.4,1.3,36.9,3096
Andrew Miller,Indians,4,2,2.74,0,65,13,65,47,20,6,91,21,1.05,12.58,2.91,2.71,1.4,1.4,206.8,6785
Clayton Kershaw,Dodgers,15,7,2.73,29,29,0,190,158,58,19,218,35,1.02,10.31,1.67,2.8,5.8,5.7,7.6,2036
Noah Syndergaard,Mets,13,9,3.1,31,31,0,182,152,63,18,220,46,1.09,10.85,2.29,2.85,5.5,4.5,34.2,11762
Dellin Betances,Yankees,3,2,2.95,0,55,2,55,37,18,5,82,26,1.15,13.34,4.29,2.97,1.1,1,277.3,6216
Aroldis Chapman,Yankees,4,2,2.86,0,65,29,65,45,21,7,95,27,1.1,13.21,3.76,2.97,1.3,1.3,65.2,10233
Felipe Rivero,Pirates,4,3,2.99,0,65,31,65,53,22,6,81,24,1.18,11.18,3.28,3.01,1.1,1.1,89.1,12076
Chris Sale,Red Sox,15,7,3.13,29,29,0,192,155,67,23,241,43,1.03,11.29,2,3.03,5.4,5.7,12.8,10603
Ken Giles,Astros,4,3,3.15,0,65,33,65,50,23,7,86,24,1.14,11.9,3.31,3.07,1.1,1,96.8,12910
Corey Knebel,Brewers,4,3,3.13,0,65,30,65,47,23,7,93,29,1.18,12.87,4.04,3.07,1.2,1.1,62.3,15010
Corey Kluber,Indians,14,8,3.29,29,29,0,194,166,71,23,224,45,1.09,10.38,2.08,3.19,5.2,5.3,14,2429
Ryan Madson,Nationals,4,3,3.24,0,65,14,65,57,23,6,70,19,1.18,9.75,2.64,3.2,1,0.9,414,1852
Edwin Diaz,Mariners,4,3,3.19,0,65,32,65,50,23,7,84,24,1.13,11.64,3.32,3.25,1,1,89.4,14710
Chad Green,Yankees,3,2,3.23,0,45,0,45,36,16,6,57,13,1.1,11.32,2.64,3.26,0.7,0.7,291.9,15552
Zach Britton,Orioles,2,2,3.04,0,40,0,40,36,14,3,40,15,1.3,8.99,3.49,3.27,0.7,0.7,282.3,3240
Trevor Rosenthal,,0,0,3.22,0,1,0,1,1,0,0,1,0,1.23,11.79,4.17,3.3,0,0.1,592.4,10745
Max Scherzer,Nationals,15,9,3.38,32,32,0,207,170,78,27,257,56,1.09,11.15,2.43,3.31,5,5,10.6,3137
Stephen Strasburg,Nationals,14,9,3.43,31,31,0,188,165,72,22,216,52,1.15,10.31,2.48,3.33,4.5,4.3,25.6,10131
Justin Wilson,Cubs,3,2,3.19,0,55,2,55,43,20,5,69,24,1.22,11.28,3.99,3.34,0.8,0.9,584.8,4301
Brad Hand,Padres,3,3,3.31,0,65,29,65,55,24,7,76,23,1.19,10.53,3.12,3.34,0.8,0.8,112.8,9111
A.J. Minter,Braves,3,2,3.29,0,55,0,55,44,20,6,71,23,1.22,11.56,3.79,3.34,0.7,0.7,426.4,18655
Anthony Swarzak,Mets,3,3,3.34,0,65,2,65,57,24,7,72,20,1.18,9.95,2.75,3.36,0.9,0.8,466,7466
Walker Buehler,Dodgers,5,3,3.26,10,20,0,65,53,24,6,78,27,1.22,10.73,3.68,3.37,1.4,1.3,356.1,19374
Jacob deGrom,Mets,13,10,3.44,32,32,0,203,179,78,24,226,57,1.16,9.98,2.52,3.38,4.8,4,34.5,10954
Sean Doolittle,Nationals,4,3,3.33,0,65,22,65,53,24,8,79,19,1.11,10.94,2.66,3.38,0.8,0.9,133.4,1581
Raisel Iglesias,Reds,3,3,3.43,0,65,32,65,54,25,8,78,22,1.18,10.77,3.05,3.42,0.9,0.8,101.5,17130
Scott Alexander,Dodgers,4,3,3.11,0,65,0,65,60,22,4,60,25,1.3,8.32,3.39,3.42,0.8,0.9,638.5,10591
Michael Feliz,Pirates,3,3,3.52,0,55,2,55,47,22,6,66,21,1.24,10.85,3.51,3.43,0.7,0.6,667,11903
Mark Melancon,Giants,3,3,3.38,0,65,22,65,62,24,6,57,18,1.24,7.95,2.49,3.43,0.7,0.7,175.8,4264
Archie Bradley,Diamondbacks,3,3,3.51,0,65,11,65,57,25,7,74,24,1.24,10.2,3.33,3.44,0.9,0.8,188.7,12918
James Hoyt,Astros,2,1,3.51,0,30,0,30,25,12,3,36,11,1.21,10.76,3.25,3.45,0.4,0.3,721.6,14605
Roberto Osuna,Blue Jays,4,3,3.51,0,65,32,65,55,25,8,75,18,1.12,10.42,2.52,3.46,0.9,0.9,78.3,13764
Carlos Carrasco,Indians,13,8,3.5,29,29,0,178,161,69,22,190,45,1.16,9.6,2.28,3.47,4.2,4.2,35.7,6632
Pedro Strop,Cubs,2,2,3.33,0,40,0,40,33,15,4,46,17,1.26,10.31,3.78,3.47,0.5,0.6,591.6,4070
Chris Archer,Rays,12,11,3.49,32,32,0,196,169,76,24,222,61,1.17,10.18,2.81,3.48,4.3,4.3,52.2,6345
Yu Darvish,Cubs,12,8,3.6,29,29,0,173,148,69,22,202,55,1.17,10.46,2.83,3.52,3.9,3.6,51.5,13074
Drew Steckenrider,Marlins,3,3,3.38,0,55,0,55,45,21,5,64,25,1.27,10.49,4.02,3.52,0.6,0.6,362,18806
Luke Gregerson,Cardinals,3,3,3.58,0,65,19,65,60,26,6,64,21,1.25,8.92,2.91,3.52,0.7,0.6,327.5,4090
Nate Jones,White Sox,3,3,3.48,0,55,0,55,47,21,6,64,20,1.21,10.5,3.22,3.55,0.7,0.7,400,4696
Carl Edwards Jr.,Cubs,3,2,3.38,0,55,0,55,41,21,5,73,31,1.31,11.88,5,3.56,0.6,0.7,341.3,13607
James Paxton,Mariners,12,9,3.54,29,29,0,176,161,69,20,178,52,1.21,9.13,2.65,3.57,3.7,3.7,77.1,11828
Brett Cecil,Cardinals,3,3,3.52,0,65,15,65,60,25,7,66,21,1.24,9.16,2.88,3.57,0.7,0.6,618.9,2660
Kirby Yates,Padres,3,3,3.57,0,55,2,55,44,22,7,69,21,1.2,11.29,3.52,3.57,0.6,0.5,457.7,9073
Danny Salazar,Indians,8,6,3.53,16,46,0,120,99,47,15,147,45,1.2,11.02,3.37,3.58,2.3,2.5,171.2,5867
Jose Quintana,Cubs,14,9,3.51,32,32,0,196,179,76,22,199,56,1.2,9.12,2.57,3.59,4.2,4.2,73.6,11423
Joe Kelly,Red Sox,3,2,3.57,0,55,0,55,49,22,6,58,21,1.27,9.57,3.4,3.6,0.6,0.7,659.7,9761
Keone Kela,Rangers,3,2,3.64,0,55,0,55,46,22,6,68,23,1.25,11.15,3.82,3.61,0.7,0.7,372.8,14696
Lance McCullers,Astros,10,7,3.61,24,24,0,137,123,55,13,145,53,1.29,9.56,3.49,3.61,2.9,2.7,149.9,14120
Andrew Chafin,Diamondbacks,3,2,3.53,0,55,0,55,49,22,5,59,23,1.32,9.7,3.84,3.61,0.6,0.7,999,12988
Blake Parker,Angels,4,3,3.48,0,65,11,65,54,25,8,74,22,1.18,10.21,3.07,3.61,0.7,0.8,214.7,5224
Shohei Ohtani,Angels,10,7,3.56,24,24,0,148,120,59,19,183,59,1.21,11.12,3.59,3.63,3,3,72.6,19755
Luis Severino,Yankees,14,8,3.56,31,31,0,188,164,75,25,213,58,1.18,10.16,2.75,3.63,4.3,4.3,33.4,15890
Hector Rondon,Astros,4,3,3.69,0,65,0,65,58,27,8,71,21,1.21,9.86,2.84,3.63,0.7,0.6,584.8,2391
Will Smith,Giants,1,1,3.48,0,25,0,25,21,10,3,29,11,1.28,10.31,3.96,3.64,0.2,0.2,999,8048
Ross Stripling,Dodgers,3,2,3.56,0,55,0,55,52,22,6,53,16,1.22,8.6,2.55,3.64,0.5,0.4,633.6,13273
Tommy Kahnle,Yankees,3,2,3.54,0,55,2,55,44,22,7,69,24,1.25,11.35,4,3.64,0.7,0.7,454.3,11384
Robbie Ray,Diamondbacks,12,9,3.67,29,29,0,168,140,69,21,209,69,1.24,11.18,3.72,3.64,3.6,3.7,47.5,11486
Tommy Hunter,Phillies,3,3,3.64,0,55,2,55,50,22,7,58,16,1.21,9.52,2.67,3.64,0.7,0.6,580.2,1157
Jeurys Familia,Mets,3,3,3.57,0,65,33,65,59,26,6,65,27,1.34,9.04,3.79,3.64,0.7,0.5,179.4,5114
Brandon Morrow,Cubs,4,3,3.57,0,65,36,65,58,26,8,68,21,1.22,9.38,2.91,3.64,0.7,0.7,199.1,9346
Drew Smyly,Cubs,1,0,3.55,0,10,0,10,9,4,1,11,3,1.13,10.01,2.42,3.66,0.1,0.1,999,11760
Wilmer Font,Dodgers,4,3,3.6,8,23,0,61,52,24,9,70,18,1.14,10.34,2.65,3.67,1,1,649.9,5257
Aaron Nola,Phillies,11,10,3.77,29,29,0,180,167,75,23,187,51,1.22,9.38,2.56,3.67,3.9,3.3,66.3,16149
Alex Wood,Dodgers,9,7,3.5,23,23,0,131,123,51,15,125,38,1.23,8.62,2.63,3.68,2.5,2.5,110.2,13781
Rubby de la Rosa,Diamondbacks,0,0,3.78,0,1,0,1,1,0,0,1,0,1.23,9.92,2.96,3.68,0,0.1,667,3862
Carlos Martinez,Cardinals,13,10,3.74,32,32,0,202,190,84,21,203,72,1.3,9.04,3.22,3.68,4,3.4,53.4,11682
Enny Romero,Nationals,2,2,3.58,0,40,0,40,34,16,5,47,17,1.28,10.56,3.89,3.69,0.4,0.5,686,4001
David Robertson,Yankees,4,3,3.66,0,65,4,65,54,26,8,79,25,1.22,10.9,3.48,3.69,0.8,0.7,295,8241
Blake Treinen,Athletics,3,3,3.68,0,65,10,65,62,27,6,63,26,1.34,8.67,3.55,3.69,0.6,0.6,191.9,12572
Nik Turley,Pirates,1,0,3.62,0,10,0,10,9,4,1,12,4,1.27,10.57,3.76,3.7,0.1,0.1,999,5530
Liam Hendriks,Athletics,3,3,3.81,0,55,0,55,50,23,7,58,18,1.24,9.42,2.87,3.7,0.5,0.5,653.3,3548
Joe Smith,Astros,2,2,3.63,0,45,0,45,42,18,5,45,14,1.25,9.01,2.84,3.71,0.4,0.4,648.9,3281
Jameson Taillon,Pirates,11,11,3.96,32,32,0,189,190,83,21,176,53,1.29,8.38,2.52,3.71,3.6,2.8,194.3,11674
Jacob Barnes,Brewers,3,3,3.71,0,65,3,65,58,27,7,72,27,1.31,9.9,3.7,3.71,0.7,0.7,612.6,12323
Cody Allen,Indians,4,3,3.69,0,65,22,65,54,27,9,78,25,1.21,10.73,3.42,3.72,0.7,0.7,99,12183
Josh Ravin,Braves,1,1,3.7,0,20,0,20,17,8,2,25,9,1.3,11.09,4.25,3.72,0.2,0.2,999,2951
Austin Pruitt,Rays,1,1,3.68,0,20,0,20,19,8,2,18,4,1.19,8.14,1.99,3.72,0.2,0.2,675.5,15290
Will Harris,Astros,3,2,3.78,0,55,0,55,51,23,7,56,17,1.24,9.14,2.8,3.72,0.5,0.4,546.2,3192
Bryan Shaw,Rockies,3,2,3.84,0,55,0,55,53,23,6,56,20,1.32,9.12,3.29,3.73,0.7,0.7,572.1,8110
Angel Sanchez,Pirates,0,0,3.83,0,1,0,1,1,0,0,1,0,1.28,8.76,2.81,3.73,0,0.1,999,11776
Kelvin Herrera,Royals,3,3,3.78,0,65,30,65,60,27,7,65,22,1.26,9.05,3.08,3.74,0.6,0.6,202.4,6033
Bud Norris,Cardinals,2,2,3.75,0,45,0,45,42,19,5,46,16,1.28,9.26,3.16,3.74,0.4,0.4,567.9,9492
Dominic Leone,Cardinals,3,2,3.71,0,55,0,55,49,23,6,59,22,1.28,9.68,3.54,3.74,0.5,0.4,513.6,13763
Jeff Samardzija,Giants,13,11,3.8,32,32,0,202,196,86,26,184,45,1.19,8.19,2.01,3.75,3.4,3.2,138.7,3254
Wade Davis,Rockies,3,3,3.79,0,65,29,65,57,27,8,74,27,1.3,10.29,3.73,3.76,0.8,0.9,106,7441
Tyler Lyons,Cardinals,3,2,3.74,0,55,4,55,51,23,7,57,16,1.21,9.36,2.66,3.76,0.5,0.4,421.2,11334
